book_number,chapter_number,book_title,chapter_title,pub_year,cluster_id,cluster_label,chunk_count,narrative_words,sent_count,sent_mean_words,sent_std_words,sent_pct_long,sent_pct_short,pct_questions,flesch_ease,fk_grade,fog_index,ttr,mean_word_len,abstract_ratio,hapax_ratio,hedge_per_1k,assert_per_1k,hedge_assert_ratio,causal_per_1k,contrast_per_1k,additive_per_1k,exemplify_per_1k,i_per_1k,we_per_1k,passive_per_1k,semicolon_per_1k,emdash_per_1k,colon_per_1k,citation_per_1k,self_cite_per_1k,metalinguistic_per_1k,definitional_per_1k,subordinate_per_1k
7,11,Essays in Social Philosophy,The Evolutionary Analysis of Knowledge,1992,5,Perspectives and Knowledge Construction Systems,9,1284,68,18.88,13.35,14.71,29.41,4.41,31.42,13.33,17.34,0.3869,5.625,0.0475,0.2008,7.009,0.0,1.0,1.558,2.336,6.231,3.115,5.452,3.894,0.0,0.0,0.0,10.125,7.009,0.0,0.0,1.558,6.231
7,12,Essays in Social Philosophy,The Rapid Evolution of Knowledge,1992,0,Heidegger's Philosophy of Understanding and Being,5,757,45,16.82,10.16,4.44,24.44,2.22,40.93,11.44,15.17,0.4539,5.209,0.0326,0.2709,5.284,6.605,0.4444,0.0,1.321,3.963,2.642,25.099,5.284,0.0,0.0,0.0,6.605,3.963,0.0,0.0,7.926,5.284
8,1,Essays in Personalizable Software,A Hypermedia Inference Language as an Alternative to Rule-based Expert Systems,1992,14,HERMES Language Design and Features,85,12504,681,18.36,21.14,8.66,19.68,0.0,37.5,12.24,15.55,0.1408,5.35,0.0381,0.0531,4.798,2.559,0.6522,1.44,2.399,3.599,1.2,0.08,2.159,2.159,1.12,0.0,13.196,0.8,0.16,0.0,2.479,2.399
8,2,Essays in Personalizable Software,A Computational Medium for Supporting Interpretation in Design,1992,10,Representing Tacit Knowledge in Design Systems,88,12765,579,22.05,13.71,18.65,16.06,0.17,32.39,14.0,17.45,0.1731,5.426,0.0408,0.0732,5.797,4.387,0.5692,1.41,1.88,2.585,1.958,0.0,3.29,1.332,2.429,0.0,3.447,1.332,0.078,0.078,1.802,2.742
8,3,Essays in Personalizable Software,Toward a Theory of Hermeneutic Software Design,1992,10,Representing Tacit Knowledge in Design Systems,49,6723,430,15.63,11.61,11.4,36.51,0.23,29.76,12.78,16.16,0.2429,5.727,0.0485,0.1177,2.975,3.719,0.4444,0.149,1.487,1.339,0.892,0.149,2.975,0.595,4.016,0.0,9.966,2.826,0.0,0.149,1.339,2.231
2,3,Tacit and Explicit Understanding in Computer Support,Part I. Interpretation in Design,1993,10,Representing Tacit Knowledge in Design Systems,3,348,18,19.33,9.45,11.11,16.67,11.11,32.4,13.1,17.02,0.4905,5.582,0.0506,0.3038,11.494,5.747,0.6667,0.0,5.747,0.0,0.0,2.874,0.0,0.0,0.0,0.0,5.747,2.874,0.0,0.0,5.747,5.747
3,6,Group Cognition: Computer Support for Building Collaborative Knowledge,Supporting Situated Interpretation,1993,10,Representing Tacit Knowledge in Design Systems,35,4754,197,24.14,12.17,20.3,4.57,0.0,15.1,16.95,20.81,0.2376,5.882,0.0546,0.1116,3.155,3.997,0.4412,0.21,1.683,1.472,1.683,0.631,5.469,2.735,4.838,0.421,1.893,4.207,0.841,0.0,1.472,3.366
8,7,Essays in Personalizable Software,Embedding ComputerBased Critics in the Contexts of Design,1993,10,Representing Tacit Knowledge in Design Systems,40,5294,288,18.38,11.19,6.25,16.67,0.0,21.38,14.57,18.43,0.2204,5.977,0.0535,0.1001,2.267,2.645,0.4615,0.0,1.511,1.133,2.078,0.0,6.045,0.756,3.967,0.0,3.778,1.511,0.0,0.0,0.378,1.7
8,8,Essays in Personalizable Software,Embedding Critics in Design Environments,1993,10,Representing Tacit Knowledge in Design Systems,103,13864,699,19.84,13.69,12.88,17.02,0.14,22.34,14.77,18.59,0.1457,5.879,0.0576,0.056,1.875,1.875,0.5,0.649,1.01,1.515,3.174,0.0,3.751,1.082,3.895,0.0,3.318,8.151,0.577,0.0,1.587,2.092
3,3,Group Cognition: Computer Support for Building Collaborative Knowledge,"Share Globally, Adapt Locally",1995,5,Perspectives and Knowledge Construction Systems,47,6789,346,19.62,11.02,12.43,12.43,1.45,32.51,13.35,17.23,0.2036,5.563,0.03,0.0896,6.039,2.209,0.7321,0.295,2.062,1.915,1.768,3.241,1.62,1.326,2.357,0.736,4.124,2.799,0.147,0.0,0.442,1.915
8,4,Essays in Personalizable Software,Supporting Personalizable Learning,1995,5,Perspectives and Knowledge Construction Systems,104,14149,731,19.36,11.9,10.94,16.42,0.41,24.94,14.43,18.19,0.15,5.738,0.0401,0.0595,4.735,1.767,0.7283,0.424,1.555,2.474,2.898,0.424,0.919,0.989,3.039,2.332,4.241,2.544,1.343,0.212,2.05,1.979
8,13,Essays in Personalizable Software,Internet Repositories for Collaborative Learning: Supporting both Students and Teachers,1995,5,Perspectives and Knowledge Construction Systems,39,5288,332,15.93,12.4,8.73,31.93,1.81,31.07,12.62,16.12,0.2365,5.674,0.0363,0.1137,1.135,3.404,0.25,0.567,1.702,1.513,4.349,0.189,5.106,0.189,2.269,0.946,9.644,1.513,0.0,0.0,0.756,0.756
3,5,Group Cognition: Computer Support for Building Collaborative Knowledge,Armchair Missions to Mars,1996,5,Perspectives and Knowledge Construction Systems,50,7566,331,22.86,18.46,18.13,12.99,0.3,34.02,13.72,16.96,0.1886,5.301,0.0396,0.0838,4.626,2.379,0.6604,0.925,1.586,1.322,1.85,1.057,7.137,1.586,1.586,1.718,3.965,1.983,0.0,0.132,1.718,2.908
7,13,Essays in Social Philosophy,"We Have to Work in the Future Now. (In Fact, We are Already Late.)",1996,17,Foundations and Evolution of CSCL,3,520,26,20.0,13.04,19.23,23.08,0.0,61.38,9.43,12.95,0.4081,4.568,0.0061,0.2384,0.0,0.0,0.5,0.0,5.769,0.0,0.0,30.769,40.385,3.846,3.846,0.0,0.0,0.0,0.0,0.0,3.846,3.846
7,18,Essays in Social Philosophy,On Alexander's pattern language as end-user programming,1996,10,Representing Tacit Knowledge in Design Systems,7,1028,66,15.58,8.62,4.55,28.79,3.03,47.6,10.25,13.81,0.4258,5.245,0.0177,0.2461,2.918,2.918,0.5,0.0,0.0,2.918,0.973,39.883,9.728,0.0,0.0,0.0,1.946,0.973,0.0,0.0,0.973,1.946
8,5,Essays in Personalizable Software,Personalizing the Web,1996,5,Perspectives and Knowledge Construction Systems,45,6222,326,19.09,11.28,11.96,17.79,0.31,27.55,13.95,17.93,0.2264,5.672,0.0385,0.1009,2.411,2.25,0.5172,0.321,1.607,1.929,1.929,1.607,7.715,1.929,4.018,0.161,4.982,0.161,0.0,0.321,1.125,3.857
7,14,Essays in Social Philosophy,LSA Visits the Chinese Room: A Guided Tour,1997,0,Heidegger's Philosophy of Understanding and Being,20,3172,130,24.4,14.19,27.69,11.54,12.31,46.02,12.63,16.13,0.2506,4.948,0.0284,0.1165,9.142,5.044,0.6444,0.946,3.783,0.631,1.576,18.285,6.936,0.946,2.522,2.522,3.153,0.631,0.0,0.0,4.098,4.098
7,15,Essays in Social Philosophy,Consciousness Without Neural Correlates,1997,0,Heidegger's Philosophy of Understanding and Being,10,1504,81,18.57,10.73,14.81,20.99,13.58,43.47,11.57,15.15,0.3319,5.228,0.0484,0.1811,8.644,4.654,0.65,1.33,3.324,0.665,1.33,13.963,7.979,0.0,0.0,3.324,1.995,0.665,0.0,0.0,3.324,1.33
3,7,Group Cognition: Computer Support for Building Collaborative Knowledge,Collaboration Technology for Communities,1998,5,Perspectives and Knowledge Construction Systems,76,10596,461,22.98,11.18,18.44,7.38,0.0,23.39,15.45,18.9,0.1749,5.67,0.0539,0.0732,2.831,3.775,0.4286,0.094,1.888,3.586,2.454,1.793,5.379,0.378,5.096,3.869,2.265,10.098,0.283,0.189,1.038,2.265
7,10,Essays in Social Philosophy,Problem-Based Learning: Whitepaper for a Collaboration,1998,5,Perspectives and Knowledge Construction Systems,10,1339,96,13.97,13.4,8.33,48.96,6.25,26.99,12.67,15.47,0.3616,6.053,0.0586,0.1954,1.494,0.747,0.6667,0.0,0.747,1.494,1.494,1.494,2.24,0.0,1.494,0.0,14.937,5.975,1.494,0.0,0.0,0.0
7,16,Essays in Social Philosophy,Software Semiotics,1998,10,Representing Tacit Knowledge in Design Systems,12,1739,74,23.5,11.92,24.32,8.11,6.76,32.58,14.29,18.39,0.3317,5.411,0.0385,0.1806,5.75,2.3,0.7143,0.0,1.725,2.3,0.0,6.325,11.501,0.575,0.0,0.0,5.175,0.0,0.0,0.0,2.3,2.875
7,17,Essays in Social Philosophy,Software as a New Art Form,1998,10,Representing Tacit Knowledge in Design Systems,14,2057,127,16.2,11.56,9.45,29.13,11.81,43.2,11.03,14.5,0.3306,5.3,0.0309,0.1828,8.264,3.889,0.68,0.486,0.972,0.486,1.945,15.557,18.96,0.0,2.431,0.0,4.861,0.0,0.0,0.0,2.431,4.375
7,19,Essays in Social Philosophy,"Lela's Birthday is a ""Lela Birthday""",1998,17,Foundations and Evolution of CSCL,3,455,24,18.96,10.92,12.5,20.83,8.33,68.51,7.51,9.61,0.394,4.538,0.0054,0.2092,0.0,2.198,0.0,0.0,0.0,0.0,0.0,6.593,4.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198
8,6,Essays in Personalizable Software,Supporting Personalization and Reseeding-on-demand,1999,5,Perspectives and Knowledge Construction Systems,10,1371,64,21.42,10.04,14.06,9.38,0.0,23.35,15.18,19.07,0.3646,5.77,0.039,0.1845,1.459,2.188,0.4,0.0,3.647,0.729,1.459,4.376,3.647,0.0,1.459,0.0,2.188,0.0,0.0,0.0,0.0,3.647
8,9,Essays in Personalizable Software,POW! Perspectives On the Web,1999,5,Perspectives and Knowledge Construction Systems,31,4288,221,19.41,12.27,12.67,20.36,0.0,30.34,13.61,17.31,0.2349,5.594,0.0365,0.1162,1.632,1.166,0.5833,0.933,1.866,3.731,0.933,1.399,4.897,0.233,2.099,0.0,3.032,5.364,0.933,0.0,2.099,2.332
8,10,Essays in Personalizable Software,Reflections on WebGuide: Seven Issues for the Next Generation of Collaborative Knowledge-Building Environments,1999,5,Perspectives and Knowledge Construction Systems,30,3801,215,17.69,12.21,12.09,26.98,1.4,23.81,14.17,17.69,0.2746,5.923,0.0407,0.1381,3.946,3.157,0.5556,0.526,3.42,3.42,1.315,0.789,7.893,3.157,1.579,0.0,8.945,4.473,1.579,0.0,0.263,1.579
8,11,Essays in Personalizable Software,Intertwining Perspectives and Negotiation,1999,5,Perspectives and Knowledge Construction Systems,62,8689,501,17.34,10.46,9.38,24.55,1.4,33.05,12.72,16.23,0.1824,5.557,0.0465,0.0815,1.841,1.956,0.4848,0.345,2.532,3.683,0.806,1.036,6.56,1.381,1.496,0.0,5.754,0.23,0.0,0.0,1.496,2.302
3,12,Group Cognition: Computer Support for Building Collaborative Knowledge,A Model of Collaborative Knowledge Building,2000,1,Group Processes and Collaborative Knowledge Building,36,4804,260,18.53,13.24,12.31,20.77,0.77,23.4,14.32,17.71,0.2359,5.894,0.0329,0.117,5.62,2.914,0.6585,0.624,2.914,1.873,2.082,0.208,8.535,0.208,3.122,3.955,1.873,8.743,0.624,0.624,1.041,4.163
8,15,Essays in Personalizable Software,Developing Summarization Skills through the Use of LSABased Feedback,2000,5,Perspectives and Knowledge Construction Systems,32,4714,197,23.93,13.47,24.37,12.18,0.0,36.65,13.86,17.06,0.2284,5.311,0.0314,0.1056,3.606,1.909,0.6538,2.121,4.243,4.031,3.394,0.424,11.243,3.182,1.697,0.0,3.182,2.758,0.0,0.0,1.909,3.606
8,18,Essays in Personalizable Software,Book review of Professional Development for Cooperative Learning: Issues and Approaches,2000,5,Perspectives and Knowledge Construction Systems,10,1388,64,21.69,10.54,17.19,7.81,0.0,24.87,14.88,18.17,0.3679,5.74,0.0458,0.2061,5.043,3.602,0.5833,1.441,2.882,1.441,1.441,0.0,2.161,0.0,2.882,0.0,3.602,8.646,0.0,0.0,0.72,3.602
3,8,Group Cognition: Computer Support for Building Collaborative Knowledge,Perspectives on Collaborative Learning,2001,5,Perspectives and Knowledge Construction Systems,109,15826,774,20.45,14.59,16.15,18.35,3.62,37.58,12.86,16.43,0.1489,5.367,0.0328,0.0612,3.854,2.338,0.6224,0.758,3.412,3.412,0.948,10.995,9.225,1.959,2.022,4.486,3.665,3.033,0.442,0.0,1.074,3.412
8,14,Essays in Personalizable Software,Evaluating Affordance Short-circuits by Reviewers and Authors Participating in On-line Journal Reviews,2001,5,Perspectives and Knowledge Construction Systems,33,4672,210,22.25,15.43,17.14,14.76,0.95,31.04,14.1,17.97,0.1984,5.385,0.0364,0.0808,7.491,2.14,0.7778,0.856,3.853,3.425,2.568,0.0,1.498,2.14,0.642,2.354,3.211,1.712,0.428,0.214,1.284,3.211
3,13,Group Cognition: Computer Support for Building Collaborative Knowledge,Rediscovering the Collaboration,2002,1,Group Processes and Collaborative Knowledge Building,44,6291,262,24.01,11.15,21.37,7.63,5.73,26.6,15.33,18.49,0.2148,5.571,0.0395,0.0967,5.564,4.292,0.5645,0.795,2.861,2.384,1.431,0.795,4.292,2.543,1.113,3.497,2.066,4.769,0.0,0.0,0.954,2.702
3,14,Group Cognition: Computer Support for Building Collaborative Knowledge,Contributions to a Theory of Collaboration,2002,12,Group Cognition and Collaborative Knowledge Building,61,8456,320,26.43,16.33,29.69,10.62,2.19,21.45,16.58,20.38,0.2023,5.674,0.0399,0.0939,4.73,3.311,0.5882,0.355,2.72,2.483,2.01,4.73,3.193,1.064,3.193,7.923,2.602,6.623,0.118,0.0,3.666,1.656
3,15,Group Cognition: Computer Support for Building Collaborative Knowledge,In a Moment of Collaboration,2002,3,Threading and Response Structure in Chat,39,5836,236,24.73,18.63,25.0,13.98,2.97,40.93,13.41,16.96,0.2062,5.107,0.0388,0.0985,5.312,2.913,0.6458,0.857,2.056,1.542,1.028,3.77,10.795,1.199,1.542,3.77,1.371,2.57,0.0,0.0,1.371,3.941
3,10,Group Cognition: Computer Support for Building Collaborative Knowledge,Knowledge Negotiation Online,2003,5,Perspectives and Knowledge Construction Systems,44,6214,256,24.27,15.01,24.22,13.28,0.0,24.92,15.47,18.9,0.196,5.697,0.058,0.0786,3.219,3.058,0.5128,0.966,2.736,0.966,2.575,4.184,1.77,0.644,4.345,3.379,1.287,7.403,0.805,0.0,2.253,2.897
3,20,Group Cognition: Computer Support for Building Collaborative Knowledge,Group Meaning / Individual Interpretation,2003,11,Group Cognition in Collaborative Learning,58,8354,336,24.86,15.17,23.81,8.93,0.0,25.78,15.63,19.39,0.1786,5.512,0.0507,0.079,2.993,5.267,0.3623,0.838,3.352,1.915,1.556,3.711,7.541,0.838,2.155,5.147,2.394,4.429,0.12,0.12,2.274,3.112
3,21,Group Cognition: Computer Support for Building Collaborative Knowledge,"Shared Meaning, Common Ground, Group Cognition",2003,1,Group Processes and Collaborative Knowledge Building,50,7083,270,26.24,14.88,26.3,8.89,2.22,24.17,16.13,19.23,0.1951,5.569,0.0411,0.0859,4.941,5.647,0.4667,0.282,2.965,1.835,1.129,0.141,7.624,0.282,5.506,4.094,3.671,9.177,0.141,0.0,1.694,2.824
3,24,Group Cognition: Computer Support for Building Collaborative Knowledge,Opening New Worlds for Collaboration,2003,1,Group Processes and Collaborative Knowledge Building,73,10519,428,24.58,14.87,23.83,9.58,5.84,30.13,14.91,18.8,0.1926,5.423,0.0448,0.0846,4.943,1.711,0.7429,0.38,1.806,1.331,1.331,4.753,6.655,1.426,3.803,3.993,2.567,5.894,0.095,0.19,1.331,1.331
3,9,Group Cognition: Computer Support for Building Collaborative Knowledge,Groupware Goes to School,2004,5,Perspectives and Knowledge Construction Systems,71,10231,453,22.58,13.51,18.98,9.93,0.44,37.46,13.43,16.58,0.1573,5.379,0.0294,0.065,3.323,2.737,0.5484,0.391,2.835,3.812,2.15,0.586,1.466,1.564,3.714,1.564,1.564,3.225,0.391,0.0,2.15,3.421
3,16,Group Cognition: Computer Support for Building Collaborative Knowledge,Collaborating with Relational References,2004,7,Group Discourse in Mathematics Problem-Solving,57,8734,376,23.23,16.4,21.54,15.43,1.6,42.69,12.71,15.98,0.1749,5.109,0.0309,0.0811,5.725,2.061,0.7353,0.343,2.977,1.488,0.458,4.58,13.052,2.519,1.488,3.32,2.862,1.259,0.0,0.0,2.175,3.206
3,18,Group Cognition: Computer Support for Building Collaborative Knowledge,Communicating with Technology,2004,4,Virtual Math Teams Project and Online Collaboration,53,7244,359,20.18,11.7,14.76,14.76,0.28,25.08,14.65,17.93,0.2033,5.765,0.0483,0.093,4.141,5.108,0.4478,0.414,2.209,3.175,3.313,1.104,1.657,0.828,2.347,5.108,1.795,1.657,0.0,0.0,1.657,4.694
3,19,Group Cognition: Computer Support for Building Collaborative Knowledge,Building Collaborative Knowing,2004,11,Group Cognition in Collaborative Learning,95,13593,669,20.35,13.8,19.43,22.27,0.9,33.34,13.4,16.88,0.1457,5.47,0.0465,0.0599,3.163,3.384,0.4831,1.251,2.501,1.545,1.913,1.03,9.637,1.766,4.855,3.752,1.618,8.166,0.074,0.0,1.913,3.09
3,25,Group Cognition: Computer Support for Building Collaborative Knowledge,Thinking at the SmallGroup Unit of Analysis,2004,17,Foundations and Evolution of CSCL,190,27069,1751,15.48,13.23,10.62,40.43,2.97,37.44,11.63,15.23,0.1399,5.496,0.0445,0.0582,3.731,2.29,0.6196,0.369,1.773,1.847,0.813,3.325,5.8,2.512,3.066,2.697,10.935,3.066,0.185,0.0,1.219,2.143
10,11,Essays in Group-Cognitive Science,A Multi-Dimensional Coding Scheme for Mathematical Collaboration,2004,4,Virtual Math Teams Project and Online Collaboration,98,14068,1030,13.68,17.61,11.55,58.54,1.07,48.03,9.65,13.19,0.1389,5.15,0.0615,0.0587,2.63,1.564,0.6271,0.355,0.924,1.208,1.919,7.464,4.123,0.64,2.275,0.995,24.382,0.355,0.142,0.0,3.767,2.061
3,23,Group Cognition: Computer Support for Building Collaborative Knowledge,Can Collaborative Groups Think?,2005,11,Group Cognition in Collaborative Learning,82,12021,561,21.45,14.44,17.11,17.47,6.06,36.47,13.29,17.03,0.1649,5.364,0.0418,0.0677,5.657,2.496,0.6939,0.666,1.581,0.832,2.662,2.329,5.74,1.913,0.749,2.995,2.329,2.496,0.0,0.0,1.581,3.161
4,27,Studying Virtual Math Teams,A Multidimensional Coding Scheme for VMT,2005,4,Virtual Math Teams Project and Online Collaboration,70,9601,387,24.81,15.52,24.55,7.49,0.52,21.74,15.97,19.13,0.1656,5.636,0.0576,0.0659,2.812,2.083,0.5745,1.458,4.062,1.979,1.25,1.042,16.144,2.291,4.791,5.208,3.229,8.124,0.417,0.0,0.937,3.229
4,28,Studying Virtual Math Teams,Combining Coding and Conversation Analysis of VMT Chats,2005,4,Virtual Math Teams Project and Online Collaboration,90,12623,450,28.05,21.16,31.56,9.56,2.22,27.93,15.87,19.87,0.1464,5.339,0.0453,0.0562,4.674,2.852,0.6211,0.871,3.406,2.535,1.426,1.901,15.131,2.218,1.664,2.139,3.09,3.486,0.0,0.0,1.188,1.822
8,12,Essays in Personalizable Software,Reflections on Supporting and Studying Collaborative Team Formation in PostCardiac Surgery Care: Lessons of CSCW for Collaborative Care Software Support,2005,1,Group Processes and Collaborative Knowledge Building,28,4065,179,22.71,21.01,18.44,12.85,7.26,34.21,13.94,17.49,0.2548,5.418,0.0359,0.1212,7.38,4.674,0.6122,0.0,1.722,1.722,1.968,0.0,4.674,1.476,3.936,0.0,2.46,2.952,0.738,0.0,0.984,2.706
9,6,Essays in Computer-Supported Collaborative Learning,Sustaining Interaction in a CSCL Environment,2005,7,Group Discourse in Mathematics Problem-Solving,100,14208,862,16.51,13.23,11.37,35.03,1.39,41.85,11.26,14.82,0.1641,5.373,0.0379,0.07,4.153,2.463,0.6277,0.211,1.548,1.548,1.478,1.548,13.514,1.056,4.927,2.886,7.812,8.235,0.845,0.07,1.126,2.393
3,1,Group Cognition: Computer Support for Building Collaborative Knowledge,"Essays on Technology, Interaction and Cognition",2006,5,Perspectives and Knowledge Construction Systems,72,10173,440,23.12,17.0,22.5,15.23,2.27,24.58,15.37,18.85,0.1881,5.68,0.0544,0.0887,3.637,2.064,0.6379,0.491,1.868,1.671,1.671,9.24,3.637,0.786,4.03,5.21,4.522,0.688,0.0,0.0,2.556,2.064
3,2,Group Cognition: Computer Support for Building Collaborative Knowledge,Introduction to Part I: Studies of Technology Design,2006,1,Group Processes and Collaborative Knowledge Building,17,2415,107,22.57,13.83,21.5,18.69,1.87,26.28,14.91,18.48,0.323,5.705,0.049,0.1801,2.484,2.899,0.4615,0.414,1.656,0.828,0.414,11.594,0.0,2.07,4.969,3.313,2.899,4.141,0.0,0.414,1.242,0.414
3,4,Group Cognition: Computer Support for Building Collaborative Knowledge,Evolving a Learning Environment,2006,5,Perspectives and Knowledge Construction Systems,62,9383,428,21.92,11.71,14.25,10.98,0.93,39.05,13.06,16.38,0.1694,5.202,0.0468,0.0674,5.329,4.37,0.5495,1.066,2.451,2.771,1.599,1.599,15.986,2.984,1.172,2.664,1.492,1.492,0.0,0.107,1.705,2.132
3,11,Group Cognition: Computer Support for Building Collaborative Knowledge,Introduction to Part II: Studies of Interaction Analysis,2006,5,Perspectives and Knowledge Construction Systems,28,3920,184,21.31,13.24,13.59,15.76,1.09,30.2,14.16,17.62,0.2785,5.507,0.0425,0.1348,5.612,4.847,0.5366,0.51,3.571,2.551,0.0,13.776,2.551,3.827,2.296,2.806,2.296,2.041,0.0,0.0,1.786,2.806
3,17,Group Cognition: Computer Support for Building Collaborative Knowledge,Introduction to Part III: Studies of Collaboration Theory,2006,1,Group Processes and Collaborative Knowledge Building,22,3196,145,22.04,13.07,20.0,14.48,6.21,31.44,14.03,17.46,0.2769,5.413,0.0491,0.1404,5.006,2.503,0.6667,0.313,2.19,1.564,1.877,9.7,5.632,1.252,4.38,4.693,1.877,5.632,0.313,0.0,1.252,1.877
4,6,Studying Virtual Math Teams,From Individual Representations to Group Cognition,2006,11,Group Cognition in Collaborative Learning,64,9349,406,23.03,14.88,19.95,14.04,1.23,40.75,12.96,16.38,0.1742,5.168,0.0323,0.0783,7.701,2.139,0.7826,0.856,2.353,1.818,1.284,1.177,5.883,1.497,0.856,3.102,1.818,4.279,1.07,0.0,0.535,4.492
4,22,Studying Virtual Math Teams,Scripting Group Processes in VMT,2006,4,Virtual Math Teams Project and Online Collaboration,30,4093,151,27.11,14.96,29.8,6.62,0.0,24.19,16.45,20.03,0.2565,5.628,0.0338,0.115,6.108,3.176,0.6579,0.733,2.199,1.71,1.466,0.733,4.153,1.955,1.71,4.886,3.665,4.153,0.0,0.0,0.977,2.932
8,17,Essays in Personalizable Software,Introduction: Computer Support for Learning Communities,2006,12,Group Cognition and Collaborative Knowledge Building,19,2360,112,21.09,22.94,15.18,25.0,0.0,12.89,16.43,19.86,0.3662,6.131,0.0473,0.2121,2.119,1.695,0.5556,0.0,3.39,2.966,0.847,0.0,3.814,2.119,4.237,1.271,11.017,5.085,0.847,0.424,0.0,4.661
