vector_id,book_number,chapter_number,book_title,chapter_title,chunk_index,chunk_page,pub_year,cluster_id,cluster_label
88,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,12,4,2010,18,"Marx, Heidegger, and Historical Ontology"
89,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,13,5,2010,18,"Marx, Heidegger, and Historical Ontology"
90,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,14,5,2010,18,"Marx, Heidegger, and Historical Ontology"
91,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,15,5,2010,18,"Marx, Heidegger, and Historical Ontology"
92,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,16,5,2010,18,"Marx, Heidegger, and Historical Ontology"
93,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,17,6,2010,18,"Marx, Heidegger, and Historical Ontology"
94,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,18,6,2010,18,"Marx, Heidegger, and Historical Ontology"
95,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,19,6,2010,18,"Marx, Heidegger, and Historical Ontology"
96,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,20,7,2010,18,"Marx, Heidegger, and Historical Ontology"
97,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,21,7,2010,18,"Marx, Heidegger, and Historical Ontology"
98,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,22,7,2010,18,"Marx, Heidegger, and Historical Ontology"
99,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,23,8,2010,18,"Marx, Heidegger, and Historical Ontology"
100,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,24,8,2010,18,"Marx, Heidegger, and Historical Ontology"
101,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,25,8,2010,18,"Marx, Heidegger, and Historical Ontology"
102,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,26,9,2010,18,"Marx, Heidegger, and Historical Ontology"
103,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,27,9,2010,18,"Marx, Heidegger, and Historical Ontology"
104,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,28,9,2010,18,"Marx, Heidegger, and Historical Ontology"
105,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,29,10,2010,0,Heidegger's Philosophy of Understanding and Being
106,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,30,10,2010,18,"Marx, Heidegger, and Historical Ontology"
107,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,31,10,2010,0,Heidegger's Philosophy of Understanding and Being
108,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,32,10,2010,18,"Marx, Heidegger, and Historical Ontology"
109,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,33,11,2010,0,Heidegger's Philosophy of Understanding and Being
110,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,34,11,2010,18,"Marx, Heidegger, and Historical Ontology"
111,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,35,11,2010,0,Heidegger's Philosophy of Understanding and Being
112,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,36,12,2010,18,"Marx, Heidegger, and Historical Ontology"
113,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,37,12,2010,18,"Marx, Heidegger, and Historical Ontology"
114,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,38,12,2010,18,"Marx, Heidegger, and Historical Ontology"
115,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,39,13,2010,18,"Marx, Heidegger, and Historical Ontology"
116,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,40,13,2010,18,"Marx, Heidegger, and Historical Ontology"
117,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,41,13,2010,18,"Marx, Heidegger, and Historical Ontology"
118,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,42,14,2010,18,"Marx, Heidegger, and Historical Ontology"
119,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,43,14,2010,18,"Marx, Heidegger, and Historical Ontology"
120,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,44,14,2010,18,"Marx, Heidegger, and Historical Ontology"
121,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,45,15,2010,18,"Marx, Heidegger, and Historical Ontology"
122,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,46,15,2010,18,"Marx, Heidegger, and Historical Ontology"
123,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,47,15,2010,18,"Marx, Heidegger, and Historical Ontology"
124,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,48,15,2010,18,"Marx, Heidegger, and Historical Ontology"
125,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,49,16,2010,18,"Marx, Heidegger, and Historical Ontology"
126,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,50,16,2010,18,"Marx, Heidegger, and Historical Ontology"
127,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,51,16,2010,18,"Marx, Heidegger, and Historical Ontology"
179,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,0,1,2010,18,"Marx, Heidegger, and Historical Ontology"
180,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,1,1,2010,18,"Marx, Heidegger, and Historical Ontology"
181,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,2,1,2010,18,"Marx, Heidegger, and Historical Ontology"
182,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,3,1,2010,18,"Marx, Heidegger, and Historical Ontology"
183,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,4,2,2010,0,Heidegger's Philosophy of Understanding and Being
184,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,5,2,2010,0,Heidegger's Philosophy of Understanding and Being
185,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,6,2,2010,18,"Marx, Heidegger, and Historical Ontology"
186,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,7,3,2010,18,"Marx, Heidegger, and Historical Ontology"
187,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,8,3,2010,18,"Marx, Heidegger, and Historical Ontology"
188,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,9,3,2010,18,"Marx, Heidegger, and Historical Ontology"
189,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,10,4,2010,18,"Marx, Heidegger, and Historical Ontology"
190,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,11,4,2010,18,"Marx, Heidegger, and Historical Ontology"
191,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,12,4,2010,18,"Marx, Heidegger, and Historical Ontology"
192,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,13,5,2010,18,"Marx, Heidegger, and Historical Ontology"
193,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,14,5,2010,18,"Marx, Heidegger, and Historical Ontology"
194,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,15,5,2010,18,"Marx, Heidegger, and Historical Ontology"
195,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,16,6,2010,18,"Marx, Heidegger, and Historical Ontology"
196,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,17,6,2010,18,"Marx, Heidegger, and Historical Ontology"
197,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,18,6,2010,18,"Marx, Heidegger, and Historical Ontology"
198,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,19,7,2010,0,Heidegger's Philosophy of Understanding and Being
199,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,20,7,2010,18,"Marx, Heidegger, and Historical Ontology"
200,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,21,7,2010,0,Heidegger's Philosophy of Understanding and Being
201,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,22,8,2010,18,"Marx, Heidegger, and Historical Ontology"
202,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,23,8,2010,0,Heidegger's Philosophy of Understanding and Being
203,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,24,8,2010,18,"Marx, Heidegger, and Historical Ontology"
204,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,25,9,2010,18,"Marx, Heidegger, and Historical Ontology"
205,1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,26,9,2010,18,"Marx, Heidegger, and Historical Ontology"
209,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,0,1,2010,18,"Marx, Heidegger, and Historical Ontology"
210,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,1,1,2010,18,"Marx, Heidegger, and Historical Ontology"
211,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,2,1,2010,18,"Marx, Heidegger, and Historical Ontology"
212,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,3,1,2010,18,"Marx, Heidegger, and Historical Ontology"
213,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,4,2,2010,18,"Marx, Heidegger, and Historical Ontology"
214,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,5,2,2010,18,"Marx, Heidegger, and Historical Ontology"
215,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,6,2,2010,18,"Marx, Heidegger, and Historical Ontology"
216,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,7,3,2010,18,"Marx, Heidegger, and Historical Ontology"
217,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,8,3,2010,18,"Marx, Heidegger, and Historical Ontology"
218,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,9,3,2010,18,"Marx, Heidegger, and Historical Ontology"
219,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,10,3,2010,18,"Marx, Heidegger, and Historical Ontology"
220,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,11,4,2010,18,"Marx, Heidegger, and Historical Ontology"
221,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,12,4,2010,18,"Marx, Heidegger, and Historical Ontology"
222,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,13,4,2010,18,"Marx, Heidegger, and Historical Ontology"
223,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,14,5,2010,18,"Marx, Heidegger, and Historical Ontology"
224,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,15,5,2010,18,"Marx, Heidegger, and Historical Ontology"
225,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,16,5,2010,18,"Marx, Heidegger, and Historical Ontology"
226,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,17,5,2010,18,"Marx, Heidegger, and Historical Ontology"
227,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,18,6,2010,18,"Marx, Heidegger, and Historical Ontology"
228,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,19,6,2010,18,"Marx, Heidegger, and Historical Ontology"
229,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,20,6,2010,18,"Marx, Heidegger, and Historical Ontology"
230,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,21,7,2010,18,"Marx, Heidegger, and Historical Ontology"
231,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,22,7,2010,18,"Marx, Heidegger, and Historical Ontology"
232,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,23,7,2010,18,"Marx, Heidegger, and Historical Ontology"
233,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,24,7,2010,18,"Marx, Heidegger, and Historical Ontology"
234,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,25,8,2010,18,"Marx, Heidegger, and Historical Ontology"
235,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,26,8,2010,18,"Marx, Heidegger, and Historical Ontology"
236,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,27,8,2010,18,"Marx, Heidegger, and Historical Ontology"
237,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,28,9,2010,18,"Marx, Heidegger, and Historical Ontology"
238,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,29,9,2010,18,"Marx, Heidegger, and Historical Ontology"
239,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,30,9,2010,18,"Marx, Heidegger, and Historical Ontology"
240,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,31,9,2010,18,"Marx, Heidegger, and Historical Ontology"
241,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,32,10,2010,18,"Marx, Heidegger, and Historical Ontology"
242,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,33,10,2010,18,"Marx, Heidegger, and Historical Ontology"
243,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,34,10,2010,18,"Marx, Heidegger, and Historical Ontology"
244,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,35,11,2010,18,"Marx, Heidegger, and Historical Ontology"
245,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,36,11,2010,18,"Marx, Heidegger, and Historical Ontology"
246,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,37,11,2010,18,"Marx, Heidegger, and Historical Ontology"
247,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,38,11,2010,18,"Marx, Heidegger, and Historical Ontology"
248,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,39,12,2010,18,"Marx, Heidegger, and Historical Ontology"
249,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,40,12,2010,18,"Marx, Heidegger, and Historical Ontology"
250,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,41,12,2010,18,"Marx, Heidegger, and Historical Ontology"
251,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,42,13,2010,18,"Marx, Heidegger, and Historical Ontology"
252,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,43,13,2010,18,"Marx, Heidegger, and Historical Ontology"
253,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,44,13,2010,18,"Marx, Heidegger, and Historical Ontology"
254,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,45,13,2010,0,Heidegger's Philosophy of Understanding and Being
255,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,46,14,2010,0,Heidegger's Philosophy of Understanding and Being
256,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,47,14,2010,0,Heidegger's Philosophy of Understanding and Being
257,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,48,14,2010,18,"Marx, Heidegger, and Historical Ontology"
258,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,49,15,2010,18,"Marx, Heidegger, and Historical Ontology"
259,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,50,15,2010,18,"Marx, Heidegger, and Historical Ontology"
260,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,51,15,2010,0,Heidegger's Philosophy of Understanding and Being
261,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,52,16,2010,18,"Marx, Heidegger, and Historical Ontology"
262,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,53,16,2010,18,"Marx, Heidegger, and Historical Ontology"
263,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,54,16,2010,18,"Marx, Heidegger, and Historical Ontology"
264,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,55,16,2010,18,"Marx, Heidegger, and Historical Ontology"
265,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,56,17,2010,18,"Marx, Heidegger, and Historical Ontology"
266,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,57,17,2010,18,"Marx, Heidegger, and Historical Ontology"
267,1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,58,17,2010,18,"Marx, Heidegger, and Historical Ontology"
315,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,0,1,2010,18,"Marx, Heidegger, and Historical Ontology"
316,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,1,1,2010,18,"Marx, Heidegger, and Historical Ontology"
317,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,2,1,2010,18,"Marx, Heidegger, and Historical Ontology"
318,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,3,1,2010,18,"Marx, Heidegger, and Historical Ontology"
319,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,4,2,2010,18,"Marx, Heidegger, and Historical Ontology"
320,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,5,2,2010,18,"Marx, Heidegger, and Historical Ontology"
321,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,6,2,2010,18,"Marx, Heidegger, and Historical Ontology"
322,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,7,3,2010,18,"Marx, Heidegger, and Historical Ontology"
323,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,8,3,2010,18,"Marx, Heidegger, and Historical Ontology"
324,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,9,3,2010,18,"Marx, Heidegger, and Historical Ontology"
325,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,10,3,2010,18,"Marx, Heidegger, and Historical Ontology"
326,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,11,4,2010,18,"Marx, Heidegger, and Historical Ontology"
327,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,12,4,2010,18,"Marx, Heidegger, and Historical Ontology"
328,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,13,4,2010,18,"Marx, Heidegger, and Historical Ontology"
329,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,14,4,2010,18,"Marx, Heidegger, and Historical Ontology"
330,1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,15,5,2010,18,"Marx, Heidegger, and Historical Ontology"
